meeting_date,asof_date,exp_rate_bp,rate_uncertainty,days_to_meeting,actual_rate_bp,forecast_error_bp,error_direction
2025-12-10,2025-07-16,391.03810000000004,21.468100716877586,147,362.5,28.538100000000043,Overestimate
2025-12-10,2025-07-17,394.9845,21.85342672786124,146,362.5,32.484500000000025,Overestimate
2025-12-10,2025-07-18,391.967875,21.95683192048377,145,362.5,29.467874999999992,Overestimate
2025-12-10,2025-07-21,392.0381,21.690508255686403,142,362.5,29.538099999999986,Overestimate
2025-12-10,2025-07-22,391.59167090832904,21.562110808349445,141,362.5,29.091670908329036,Overestimate
2025-12-10,2025-07-23,392.93092500000006,21.7633735584439,140,362.5,30.43092500000006,Overestimate
2025-12-10,2025-07-24,394.82377500000007,21.836447622023485,139,362.5,32.32377500000007,Overestimate
2025-12-10,2025-07-25,392.82380532380535,21.660738547074512,138,362.5,30.323805323805345,Overestimate
2025-12-10,2025-07-28,392.7786052786053,21.473718012885413,135,362.5,30.278605278605312,Overestimate
2025-12-10,2025-07-29,392.14405,21.2763730367161,134,362.5,29.644049999999993,Overestimate
2025-12-10,2025-07-30,399.590475,21.426176496854847,133,362.5,37.090475000000026,Overestimate
2025-12-10,2025-07-31,404.803575,21.087749221274777,132,362.5,42.30357500000002,Overestimate
2025-12-10,2025-08-01,379.374975,18.021156837156013,131,362.5,16.874975000000006,Overestimate
2025-12-10,2025-08-04,376.4285500000001,16.457536112598998,128,362.5,13.928550000000087,Overestimate
2025-12-10,2025-08-05,378.82145867854143,17.12983659534886,127,362.5,16.321458678541433,Overestimate
2025-12-10,2025-08-06,375.8750366249634,15.91144912366785,126,362.5,13.3750366249634,Overestimate
2025-12-10,2025-08-07,378.125,16.873481413152415,125,362.5,15.625,Overestimate
2025-12-10,2025-08-08,378.76785,17.267043938598754,124,362.5,16.26785000000001,Overestimate
2025-12-10,2025-08-11,379.571425,17.692217878756043,121,362.5,17.071424999999977,Overestimate
2025-12-10,2025-08-12,377.125,16.3056546940011,120,362.5,14.625,Overestimate
2025-12-10,2025-08-13,373.625,16.109993016758263,119,362.5,11.125,Overestimate
2025-12-10,2025-08-14,380.57145,17.617326553637472,118,362.5,18.071450000000027,Overestimate
2025-12-10,2025-08-15,383.26785000000007,18.61176123792426,117,362.5,20.767850000000067,Overestimate
2025-12-10,2025-08-18,384.517875,18.791089789694873,114,362.5,22.017875000000004,Overestimate
2025-12-10,2025-08-19,383.07144999999997,18.34394845439498,113,362.5,20.57144999999997,Overestimate
2025-12-10,2025-08-20,383.0714544285455,18.599767970546484,112,362.5,20.571454428545508,Overestimate
2025-12-10,2025-08-21,389.01785,19.97979933276358,111,362.5,26.51785000000001,Overestimate
2025-12-10,2025-08-22,381.7857,17.56496585564572,110,362.5,19.28570000000002,Overestimate
2025-12-10,2025-08-25,383.9821214821215,18.571026169599005,107,362.5,21.4821214821215,Overestimate
2025-12-10,2025-08-26,382.5892999999999,17.682689996434366,106,362.5,20.089299999999923,Overestimate
2025-12-10,2025-08-27,381.23215,17.268802980447138,105,362.5,18.73214999999999,Overestimate
2025-12-10,2025-08-28,382.17857499999997,17.755648705957633,104,362.5,19.678574999999967,Overestimate
2025-12-10,2025-08-29,381.1249686249687,17.71397624457437,103,362.5,18.624968624968687,Overestimate
2025-12-10,2025-09-02,382.07142500000003,17.51388587576655,99,362.5,19.571425000000033,Overestimate
2025-12-10,2025-09-03,379.12499999999994,16.19955632108485,98,362.5,16.624999999999943,Overestimate
2025-12-10,2025-09-04,378.12502499999994,15.918400320050223,97,362.5,15.625024999999937,Overestimate
2025-12-10,2025-09-05,367.7857,14.969222608739575,96,362.5,5.28570000000002,Overestimate
2025-12-10,2025-09-08,366.28570378570373,14.066312915601594,93,362.5,3.7857037857037312,Overestimate
2025-12-10,2025-09-09,369.67856782143207,14.867364139710375,92,362.5,7.178567821432068,Overestimate
2025-12-10,2025-09-10,367.67857499999997,14.2718862092358,91,362.5,5.178574999999967,Overestimate
2025-12-10,2025-09-11,364.732125,11.05862753619883,90,362.5,2.2321249999999964,Overestimate
2025-12-10,2025-09-12,366.6786,12.82187786714567,89,362.5,4.178600000000017,Overestimate
2025-12-10,2025-09-15,368.7321562321562,13.453176150103593,86,362.5,6.232156232156228,Overestimate
2025-12-10,2025-09-16,368.7857312857313,13.495894888934767,85,362.5,6.285731285731288,Overestimate
2025-12-10,2025-09-17,367.17855,10.436710204729266,84,362.5,4.678549999999973,Overestimate
2025-12-10,2025-09-18,367.1958,10.302946780411903,83,362.5,4.69580000000002,Overestimate
2025-12-10,2025-09-19,368.14225000000005,11.128623676695156,82,362.5,5.642250000000047,Overestimate
2025-12-10,2025-09-22,369.06957500000004,11.898952026097719,79,362.5,6.569575000000043,Overestimate
2025-12-10,2025-09-23,369.088675,11.821589856883676,78,362.5,6.588675000000023,Overestimate
2025-12-10,2025-09-24,369.58865,12.141964057659699,77,362.5,7.088649999999973,Overestimate
2025-12-10,2025-09-25,373.4242500000001,14.375483015798114,76,362.5,10.924250000000086,Overestimate
2025-12-10,2025-09-26,371.94335,13.643520102140064,75,362.5,9.44335000000001,Overestimate
2025-12-10,2025-09-29,371.462425,13.283516594613603,72,362.5,8.962424999999996,Overestimate
2025-12-10,2025-09-30,368.35900000000004,11.020928681377082,71,362.5,5.859000000000037,Overestimate
2025-12-10,2025-10-01,365.217975,7.830436571441915,70,362.5,2.717975000000024,Overestimate
2025-12-10,2025-10-02,365.0388,7.667023187652428,69,362.5,2.5387999999999806,Overestimate
2025-12-10,2025-10-03,366.01967851967845,8.97106911055374,68,362.5,3.5196785196784504,Overestimate
2025-12-10,2025-10-06,366.447025,9.508108047838697,65,362.5,3.9470249999999965,Overestimate
2025-12-10,2025-10-07,367.17977967977964,10.174252432708341,64,362.5,4.679779679779642,Overestimate
2025-12-10,2025-10-08,367.94705,10.874840058479021,63,362.5,5.44704999999999,Overestimate
2025-12-10,2025-10-09,367.44705,10.46311121500197,62,362.5,4.94704999999999,Overestimate
2025-12-10,2025-10-10,364.59235,7.022789437075556,61,362.5,2.0923500000000104,Overestimate
2025-12-10,2025-10-13,363.64595,5.286000245696173,58,362.5,1.1459500000000276,Overestimate
2025-12-10,2025-10-14,363.91319858680146,5.859209283410076,57,362.5,1.4131985868014567,Overestimate
2025-12-10,2025-10-15,363.96675000000005,5.965517114006128,56,362.5,1.4667500000000473,Overestimate
2025-12-10,2025-10-16,359.47042802957196,8.393359818880723,55,362.5,-3.0295719704280373,Underestimate
2025-12-10,2025-10-17,360.897775,6.199274155042265,54,362.5,-1.6022249999999758,Underestimate
2025-12-10,2025-10-20,362.48582500000003,2.7630009173677452,51,362.5,-0.014174999999966076,Underestimate
2025-12-10,2025-10-21,362.8602253602254,3.3925837247203128,50,362.5,0.3602253602253995,Overestimate
2025-12-10,2025-10-22,363.62744999999995,5.246199243023467,49,362.5,1.1274499999999534,Overestimate
2025-12-10,2025-10-23,364.75309774690226,7.2645366468180095,48,362.5,2.253097746902256,Overestimate
2025-12-10,2025-10-24,362.234,7.189610142420798,47,362.5,-0.26600000000001955,Underestimate
2025-12-10,2025-10-27,363.91319858680146,5.859209283410076,44,362.5,1.4131985868014567,Overestimate
2025-12-10,2025-10-28,364.665025,7.410856343863036,43,362.5,2.165025000000014,Overestimate
2025-12-10,2025-10-29,371.604075,13.48564768167903,42,362.5,9.104075000000023,Overestimate
2025-12-10,2025-10-30,369.303575,11.126578190053536,41,362.5,6.8035750000000235,Overestimate
2025-12-10,2025-10-31,371.75,12.07010770457331,40,362.5,9.25,Overestimate
2025-12-10,2025-11-03,370.803575,11.774549554839668,37,362.5,8.303575000000023,Overestimate
2025-12-10,2025-11-04,370.35715000000005,11.605772006958434,36,362.5,7.857150000000047,Overestimate
2025-12-10,2025-11-05,372.0,12.134661099511597,35,362.5,9.5,Overestimate
2025-12-10,2025-11-06,370.10715000000005,11.502609220411689,34,362.5,7.607150000000047,Overestimate
2025-12-10,2025-11-07,370.76785000000007,11.761756092416642,33,362.5,8.267850000000067,Overestimate
2025-12-10,2025-11-10,371.910725,12.112240914643953,30,362.5,9.410725000000014,Overestimate
2025-12-10,2025-11-11,370.76785000000007,11.761756092416642,29,362.5,8.267850000000067,Overestimate
2025-12-10,2025-11-12,371.76784999999995,12.074899849584675,28,362.5,9.267849999999953,Overestimate
2025-12-10,2025-11-13,374.964275,12.49994894887075,27,362.5,12.464274999999986,Overestimate
2025-12-10,2025-11-14,376.41072499999996,12.420139088366724,26,362.5,13.910724999999957,Overestimate
2025-12-10,2025-11-17,376.91072499999996,12.353102038531658,23,362.5,14.410724999999957,Overestimate
2025-12-10,2025-11-18,374.964275,12.49994894887075,22,362.5,12.464274999999986,Overestimate
2025-12-10,2025-11-19,379.98215,11.464213072753838,21,362.5,17.48214999999999,Overestimate
2025-12-10,2025-11-20,377.73215,12.197760301690634,20,362.5,15.23214999999999,Overestimate
2025-12-10,2025-11-21,369.75,11.344051304538427,19,362.5,7.25,Overestimate
2025-12-10,2025-11-24,366.39285,9.064599763778872,16,362.5,3.89285000000001,Overestimate
2025-12-10,2025-11-25,366.196425,8.873954429642684,15,362.5,3.6964249999999765,Overestimate
2025-12-10,2025-11-26,366.64285,9.29559271254394,14,362.5,4.14285000000001,Overestimate
2025-12-10,2025-11-28,365.89285,8.562115327271643,12,362.5,3.39285000000001,Overestimate
2025-12-10,2025-12-01,365.89285,8.562115327271643,9,362.5,3.39285000000001,Overestimate
2025-12-10,2025-12-02,365.5,8.12403840463596,8,362.5,3.0,Overestimate
2025-12-10,2025-12-03,365.0,7.5,7,362.5,2.5,Overestimate
2025-12-10,2025-12-04,365.446425,8.060967976575457,6,362.5,2.9464249999999765,Overestimate
2025-12-10,2025-12-05,365.946425,8.618745832159979,5,362.5,3.4464249999999765,Overestimate
2025-12-10,2025-12-08,365.39285,7.997041257709004,2,362.5,2.89285000000001,Overestimate
2025-12-10,2025-12-09,365.339275,7.932237545256383,1,362.5,2.8392749999999864,Overestimate
2025-12-10,2025-12-10,364.285725,6.438502250086971,0,362.5,1.7857250000000136,Overestimate
2026-01-28,2024-12-19,398.8618886381114,27.00121068428718,405,,,Exact
2026-01-28,2024-12-20,397.862125,27.037788195123785,404,,,Exact
2026-01-28,2024-12-23,402.3965101034899,25.976767794283898,401,,,Exact
2026-01-28,2024-12-24,399.362075,26.66555459191455,400,,,Exact
2026-01-28,2024-12-26,399.3276,26.724831678422223,398,,,Exact
2026-01-28,2024-12-27,398.32763917236076,26.864314452894497,397,,,Exact
2026-01-28,2024-12-30,393.0604305604305,28.088552950763138,394,,,Exact
2026-01-28,2024-12-31,394.09495,27.820592813552697,393,,,Exact
2026-01-28,2025-01-02,394.06045656045654,28.116009554485963,391,,,Exact
2026-01-28,2025-01-03,397.3276651723349,27.23427131340107,390,,,Exact
2026-01-28,2025-01-06,397.361925,27.396907860092078,387,,,Exact
2026-01-28,2025-01-07,399.8966373966374,26.889238236960953,386,,,Exact
2026-01-28,2025-01-08,397.66386016386025,27.37794366685251,385,,,Exact
2026-01-28,2025-01-09,394.39668879337756,28.018060672348117,384,,,Exact
2026-01-28,2025-01-10,410.198325,23.59129430943489,383,,,Exact
2026-01-28,2025-01-13,411.46545000000003,23.674822202025087,380,,,Exact
2026-01-28,2025-01-14,407.46547499999997,24.96706196220082,379,,,Exact
2026-01-28,2025-01-15,397.465525,27.26231715159911,378,,,Exact
2026-01-28,2025-01-16,394.46546803453197,28.15616342424212,377,,,Exact
2026-01-28,2025-01-17,397.9654145345854,27.315766837913735,376,,,Exact
2026-01-28,2025-01-21,398.46546403453596,27.344050643033693,372,,,Exact
2026-01-28,2025-01-22,398.2326392673607,27.199854766800897,371,,,Exact
2026-01-28,2025-01-23,396.73269999999997,27.63373844976463,370,,,Exact
2026-01-28,2025-01-24,394.965525,27.923741000703597,369,,,Exact
2026-01-28,2025-01-27,385.46549999999996,29.766710596738765,366,,,Exact
2026-01-28,2025-01-28,387.4655,29.48243222242697,365,,,Exact
2026-01-28,2025-01-29,390.23279726720267,28.923601522864736,364,,,Exact
2026-01-28,2025-01-30,387.50005,29.43433369379202,363,,,Exact
2026-01-28,2025-01-31,391.499978999979,28.72730207063384,362,,,Exact
2026-01-28,2025-02-03,395.49985000000004,28.02851048446028,359,,,Exact
2026-01-28,2025-02-04,390.99987500000003,29.061985479047625,358,,,Exact
2026-01-28,2025-02-05,387.75005000000004,29.8174860609928,357,,,Exact
2026-01-28,2025-02-06,390.00007750007745,29.31247350472315,356,,,Exact
2026-01-28,2025-02-07,397.99997499999995,27.472256914920095,355,,,Exact
2026-01-28,2025-02-10,397.00000000000006,27.74587807224706,352,,,Exact
2026-01-28,2025-02-11,399.7499377500622,26.927275205272345,351,,,Exact
2026-01-28,2025-02-12,408.750067500135,24.15297240719237,350,,,Exact
2026-01-28,2025-02-13,403.0000905000905,25.93612311862149,349,,,Exact
2026-01-28,2025-02-14,394.7500072500073,27.801249438593906,348,,,Exact
2026-01-28,2025-02-18,399.2499882500117,26.777031595248584,344,,,Exact
2026-01-28,2025-02-19,398.24994999999996,26.83066948470537,343,,,Exact
2026-01-28,2025-02-20,397.2500152499848,27.224175679100483,342,,,Exact
2026-01-28,2025-02-21,387.49989999999997,29.261472109072024,341,,,Exact
2026-01-28,2025-02-24,385.00017250017254,29.411517450781123,338,,,Exact
2026-01-28,2025-02-25,377.000075,30.16785872405224,337,,,Exact
2026-01-28,2025-02-26,374.50003700003697,30.44005679356871,336,,,Exact
2026-01-28,2025-02-27,375.49994999999996,30.402858418206336,335,,,Exact
2026-01-28,2025-02-28,364.500077000077,30.933639098626898,334,,,Exact
2026-01-28,2025-03-03,364.49999800000194,31.13800386063165,331,,,Exact
2026-01-28,2025-03-04,361.50005000000004,31.29966213871166,330,,,Exact
2026-01-28,2025-03-05,363.500101000101,31.0331195989754,329,,,Exact
2026-01-28,2025-03-06,359.99992750007254,31.211484778650977,328,,,Exact
2026-01-28,2025-03-07,365.00003000006,30.205066829775834,327,,,Exact
2026-01-28,2025-03-10,352.50014000014,30.49030714242199,324,,,Exact
2026-01-28,2025-03-11,357.99997499999995,30.867282841211907,323,,,Exact
2026-01-28,2025-03-12,365.00007249992746,30.284143361095833,322,,,Exact
2026-01-28,2025-03-13,361.500024000024,30.408495501685426,321,,,Exact
2026-01-28,2025-03-14,369.50002499999994,30.067075431431217,320,,,Exact
